university,course_dept,course_number,course_title,description,professors,recent_semesters,credits,url
stanford,CS,148,CS 148 - Introduction to Computer Graphics and Imaging,"Introductory prerequisite course in the computer graphics sequence introducing students to the technical concepts behind creating synthetic computer generated images. Focuses on using OpenGL to create visual imagery, as well as an understanding of the underlying mathematical concepts including triangles, normals, interpolation, texture mapping, bump mapping, etc. Course will cover fundamental understanding of light and color, as well as how it impacts computer displays and printers. Class will discuss more thoroughly how light interacts with the environment, constructing engineering models such as the BRDF, plus various simplifications into more basic lighting and shading models. Also covers ray tracing technology for creating virtual images, while drawing parallels between ray tracers and real world cameras to illustrate various concepts. Anti-aliasing and acceleration structures are also discussed. The final class mini-project consists of building out a ray tracer to create visually compelling images. Starter codes and code bits will be provided to aid in development, but this class focuses on what you can do with the code as opposed to what the code itself looks like. Therefore grading is weighted toward in person ""demos"" of the code in action - creativity and the production of impressive visual imagery are highly encouraged. Prerequisites: CS 107, MATH 51. Class Notes: May be taken for 3 units by graduate students.",R. Fedkiw,"Fall 2019, Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/148/
stanford,CS,149,CS 149 - Parallel Computing,,K. Fatahalian; M. Zaharia,"Fall 2019, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/149/
stanford,CS,152,CS 152 - Trust and Safety Engineering,,Alex Stamos; A. Stamos,"Winter 2020, Fall 2019",,https://www.coursicle.com/stanford/courses/CS/152/
stanford,CS,155,CS 155 - Computer and Network Security,"For seniors and first-year graduate students. Principles of computer systems security. Attack techniques and how to defend against them. Topics include: network attacks and defenses, operating system security, application security (web, apps, databases), malware, privacy, and security for mobile devices. Course projects focus on building reliable code. Prerequisite: 110. Recommended: basic Unix.",Dan Boneh; D. Boneh,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",3,https://www.coursicle.com/stanford/courses/CS/155/
stanford,CS,157,CS 157 - Computational Logic,"An elementary exposition from a computational point of view of propositional and predicate logic, axiomatic theories, and theories with equality and induction. Interpretations, models, validity, proof, strategies, and applications. Automated deduction: polarity, skolemization, unification, resolution, equality. Prerequisite: 103 or 103B.",M. Genesereth,"Fall 2019, Fall 2018, Fall 2017",3,https://www.coursicle.com/stanford/courses/CS/157/
stanford,CS,161,CS 161 - Design and Analysis of Algorithms,"Worst and average case analysis. Recurrences and asymptotics. Efficient algorithms for sorting, searching, and selection. Data structures: binary search trees, heaps, hash tables. Algorithm design techniques: divide-and-conquer, dynamic programming, greedy algorithms, amortized analysis, randomization. Algorithms for fundamental graph problems: minimum-cost spanning tree, connected components, topological sort, and shortest paths. Possible additional topics: network flow, string searching. Prerequisite: 103 or 103B; 109 or STATS 116. Class Notes: Graduate students may take for 3 units.",Mary Wootters; A. Rubinstein; L. Guibas; M. Wootters,"Winter 2020, Fall 2019, Fall 2018, Winter 2017, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/161/
stanford,CS,166,CS 166 - Data Structures,"Techniques in the design, analysis, and implementation of data structures. Isometries between data structures (including red/black trees and 2-3-4 trees), amortized analysis (including Fibonacci heaps and splay trees), and randomization (including count-min sketches and dynamic perfect hash tables). Data structures for integers and strings (including van Emde Boas trees and suffix trees). Possible additional topics include functional data structures, concurrent data structures, and spatial data structures. Prerequisites: CS107 and CS161. Class Notes: May be taken for 3 units by graduate students.",Keith Schwarz; K. Schwarz,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/166/
stanford,CS,168,CS 168 - The Modern Algorithmic Toolbox,"This course will provide a rigorous and hands-on introduction to the central ideas and algorithms that constitute the core of the modern algorithms toolkit. Emphasis will be on understanding the high-level theoretical intuitions and principles underlying the algorithms we discuss, as well as developing a concrete understanding of when and how to implement and apply the algorithms. The course will be structured as a sequence of one-week investigations; each week will introduce one algorithmic idea, and discuss the motivation, theoretical underpinning, and practical applications of that algorithmic idea. Each topic will be accompanied by a mini-project in which students will be guided through a practical application of the ideas of the week. Topics include hashing, dimension reduction and LSH, boosting, linear programming, gradient descent, sampling and estimation, and an introduction to spectral techniques. Prerequisites: CS107 and CS161, or permission from the instructor. Class Notes: May be taken for 3 units by graduate students.",Gregory Valiant; G. Valiant,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/168/
stanford,CS,170,"CS 170 - Stanford Laptop Orchestra: Composition, Coding, and Performance","Classroom instantiation of the Stanford Laptop Orchestra (SLOrk) which includes public performances. An ensemble of more than 20 humans, laptops, controllers, and special speaker arrays designed to provide each computer-mediated instrument with its sonic identity and presence. Topics and activities include issues of composing for laptop orchestras, instrument design, sound synthesis, programming, and live performance. May be repeated four times for credit. Space is limited; see https://ccrma.stanford.edu/courses/128 for information about the application and enrollment process. May be repeat for credit.",Ge Wang; G. Wang,"Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/170/
stanford,CS,181,"CS 181 - Computers, Ethics, and Public Policy","Primarily for majors entering computer-related fields. Ethical and social issues related to the development and use of computer technology. Ethical theory, and social, political, and legal considerations. Scenarios in problem areas: privacy, reliability and risks of complex systems, and responsibility of professionals for applications and consequences of their work. Prerequisite: 106B or X. To take this course, students need permission of instructor and may need to complete an assignment due at the first day of class. Class Notes: Enrollment limited to 10. Permission of instructor required. Attend first class. Priority given to seniors majoring in Computer Science. Enroll in either CS 181, or CS 181W, not both.",Keith Winstein; K. Winstein; D. Bhargava; A. Berke,"Fall 2020, Spring 2020, Fall 2018, Spring 2018, Winter 2017",4,https://www.coursicle.com/stanford/courses/CS/181/
stanford,CS,181W,"CS 181W - Computers, Ethics, and Public Policy (WIM)","Writing-intensive version of CS181. Satisfies the WIM requirement for Computer Science, Engineering Physics, STS, and Math/Comp Sci undergraduates. To take this course, students need permission of instructor and may need to complete an assignment due at the first day of class. Class Notes: Enrollment limited to 40. Permission of instructor required. Attend first class. Priority given to seniors majoring in Computer Science, Engineering Physics, Math/Comp Sci, or STS. Satisfies WIM requirement for these majors. Enroll in either CS 181, or CS 181W, not both.",Keith Winstein; K. Winstein; D. Bhargava,"Fall 2020, Fall 2018, Spring 2018, Winter 2017",4,https://www.coursicle.com/stanford/courses/CS/181W/
stanford,CS,182,"CS 182 - Ethics, Public Policy, and Technological Change",,Mehran Sahami,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/182/
stanford,CS,183E,CS 183E - Effective Leadership in High-Tech,"You will undoubtedly leave Stanford with the technical skills to excel in your first few jobs. But non-technical skills are just as critical to making a difference. This seminar is taught by two industry veterans in engineering leadership and product management. In a small group setting, we will explore how you can be a great individual contributor (communicating with clarity, getting traction for your ideas, resolving conflict, and delivering your best work) and how you can transition into leadership roles (finding leadership opportunities, creating a great team culture, hiring and onboarding new team members). We will end by turning back to your career (picking your first job and negotiating your offer, managing your career changes, building a great network, and succeeding with mentors). Prerequisites: Preference given to seniors and co-terms in Computer Science and related majors. Enrollment limited and application required for admittance. Class Notes: Enrollment limited to 18. Application, consent of instructors, and permission number required. Please complete the application at: https://www.surveymonkey.com/r/P98PRKY. Deadline for completed applications is September 19.",J. Goldfein,"Fall 2019, Fall 2018, Fall 2017",1,https://www.coursicle.com/stanford/courses/CS/183E/
stanford,CS,184,CS 184 - Bridging Policy and Tech Through Design,,Jeffrey Ullman,"Fall 2020, Spring 2020",,https://www.coursicle.com/stanford/courses/CS/184/
stanford,CS,190,CS 190 - Software Design Studio,,John Ousterhout; J. Ousterhout,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/190/
stanford,CS,191,CS 191 - Senior Project,,James Zou; J. Zou; S. Ermon; R. Poldrack,"Fall 2020, Spring 2020, Fall 2019",,https://www.coursicle.com/stanford/courses/CS/191/
stanford,CS,191W,CS 191W - Writing Intensive Senior Project (WIM),Restricted to Computer Science and Computer Systems Engineering students. Writing-intensive version of CS191. Register using the section number of an Academic Council member. Prerequisite: Completion of at least 135 units.,James Zou; Jay Borenstein; Moses Charikar; Emma Brunskill; Gordon Wetzstein; Matei Zaharia; C. Wodtke; J. Zou; Z. Durumeric; K. Fatahalian; E. Brunskill; G. Wetzstein; M. Zaharia,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/191W/
stanford,CS,193P,CS 193P - iOS Application Development,"Tools and APIs required to build applications for the iPhone and iPad platforms using the iOS SDK. User interface design for mobile devices and unique user interactions using multi-touch technologies. Object-oriented design using model-view-controller paradigm, memory management, Swift programming language. Other topics include: object-oriented database API, animation, multi-threading, networking and performance considerations. Prerequisites: C language and object-oriented programming experience exceeding 106B or X level. Previous completion of any one of the following is required: CS 107, 108 (preferred) or 110. Recommended: UNIX, graphics, databases.",Paul Hegarty; P. Hegarty,"Fall 2020, Spring 2020, Spring 2019, Spring 2018, Fall 2017",3,https://www.coursicle.com/stanford/courses/CS/193P/
stanford,CS,193X,CS 193X - Web Programming Fundamentals,,Michael Chang,"Fall 2020, Spring 2020",,https://www.coursicle.com/stanford/courses/CS/193X/
stanford,CS,194,CS 194 - Software Project,"Design, specification, coding, and testing of a significant team programming project under faculty supervision. Documentation includes a detailed proposal. Public demonstration of the project at the end of the quarter. Preference given to seniors. May be repeat for credit. Prerequisites: CS 110 and CS 161.",Jay Borenstein; J. Borenstein,"Winter 2020, Fall 2020, Spring 2020, Spring 2019, Spring 2018",3,https://www.coursicle.com/stanford/courses/CS/194/
stanford,CS,194A,CS 194A - Android Programming Workshop,,Jay Borenstein,"Fall 2020, Spring 2020",,https://www.coursicle.com/stanford/courses/CS/194A/
stanford,CS,194H,CS 194H - User Interface Design Project,,James Landay; J. Landay,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/194H/
stanford,CS,194W,CS 194W - Software Project (WIM),"Restricted to Computer Science and Electrical Engineering undergraduates. Writing-intensive version of CS194. Preference given to seniors. Class Notes: CS undergraduates only. Satisfies WIM requirement. Students enroll in either CS194, or CS194W, not both. See CS194 for classroom location.",Jay Borenstein; J. Borenstein,"Fall 2020, Spring 2019, Spring 2018, Winter 2017",3,https://www.coursicle.com/stanford/courses/CS/194W/
stanford,CS,195,CS 195 - Supervised Undergraduate Research,,Michael Bernstein; Christina Wodtke; Andrew Ng; C. Wodtke; A. Ng; M. Bernstein; G. Bejerano; M. Genesereth,"Winter 2020, Fall 2020, Spring 2020, Spring 2019, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/195/
stanford,CS,196,CS 196 - Computer Consulting,"Focus is on Macintosh and Windows operating system maintenance and troubleshooting through hardware and software foundation and concepts. Topics include operating systems, networking, security, troubleshooting methodology with emphasis on Stanford's computing environment. Not a programming course. Prerequisite: 1C or equivalent.",S. Smith,"Spring 2019, Spring 2018, Winter 2017",2,https://www.coursicle.com/stanford/courses/CS/196/
stanford,CS,197,CS 197 - Computer Science Research,,M. Bernstein,Fall 2019,,https://www.coursicle.com/stanford/courses/CS/197/
stanford,CS,198,CS 198 - Teaching Computer Science,"Students lead a discussion section of 106A while learning how to teach a programming language at the introductory level. Focus is on teaching skills, techniques, and course specifics. Application and interview required; see http://cs198.stanford.edu.",Kathryn Rydberg; Mehran Sahami; K. Rydberg; C. Kincaid,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/198/
stanford,CS,198B,CS 198B - Additional Topics in Teaching Computer Science,Students build on the teaching skills developed in CS198. Focus is on techniques used to teach topics covered in CS106B. Prerequisite: successful completion of CS198.,K. Rydberg; M. Sahami; C. Kincaid,"Winter 2020, Fall 2019, Spring 2019, Spring 2018, Winter 2017",1,https://www.coursicle.com/stanford/courses/CS/198B/
stanford,CS,199,CS 199 - Independent Work,,Aviad Rubinstein; Zakir Durumeric; Ann Grimes; Christina Wodtke; Matei Zaharia; Gregory Valiant; Peter Bailis; Emma Brunskill; Moses Charikar; Mary Wootters; K. Fatahalian; D. Sadigh; C. Lee; Z. Durumeric; A. Grimes; M. Wootters,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/199/
stanford,CS,199P,CS 199P - Independent Work,,James Zou; Matei Zaharia; Richard Socher; C. Lee; Z. Durumeric; J. Borenstein; C. Barrett; R. Socher,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/199P/
stanford,CS,202,CS 202 - Law for Computer Science Professionals,,David Hansen; D. Hansen,"Fall 2020, Spring 2020, Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/202/
stanford,CS,203,CS 203 - Cybersecurity: a Legal and Technical Perspective,"This class will use the case method to teach basic computer, network, and information security from technology, law, policy, and business perspectives. Using real world topics, we will study the technical, legal, policy, and business aspects of an incident or issue and its potential solutions. The case studies will be organized around the following topics: vulnerability disclosure, state sponsored sabotage, corporate and government espionage, credit card theft, theft of embarrassing personal data, phishing and social engineering attacks, denial of service attacks, attacks on weak session management and URLs, security risks and benefits of cloud data storage, wiretapping on the Internet, and digital forensics. Students taking the class will learn about the techniques attackers use, applicable legal prohibitions, rights, and remedies, the policy context, and strategies in law, policy and business for managing risk. Grades will be based on class participation, two reflection papers, and a final exam.Â Special Instructions: This class is limited to 65 students, with an effort made to have students from Stanford Law School (30 students will be selected by lottery) and students from Computer Science (30 students) and International Policy Studies (5 students). Elements used in grading: Class Participation (20%), Written Assignments (40%), Final Exam (40%). Cross-listed with the Law School (Law 4004) and International Policy Studies (IPS course number TBD). Class Notes: Enrollment limited to 30 CS students, 30 Law students, and 5 International Policy Studies students. Consent of instructors and permission number required. Course is cross-listed with the law school (LAW4004).",A. Grotto,Spring 2018,2,https://www.coursicle.com/stanford/courses/CS/203/
stanford,CS,204,CS 204 - Computational Law,"Legal informatics based on representation of regulations in computable form. Encoding regulations facilitate creation of legal information systems with significant practical value. Convergence of technological trends, growth of the Internet, advent of semantic web technology, and progress in computational logic make computational law prospects better. Topics: current state of computational law, prospects and problems, philosophical and legal implications. This course is *Cross* listed with LAW 4019. Prerequisite: basic concepts of programming. Class Notes: Course meeting time is 4:15pm - 6:15pm.",Roland Vogl; M. Genesereth,"Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/204/
stanford,CS,205A,"CS 205A - Mathematical Methods for Robotics, Vision, and Graphics",,D. James,Winter 2017,,https://www.coursicle.com/stanford/courses/CS/205A/
stanford,CS,205L,CS 205L - Continuous Mathematical Methods with an Emphasis on Machine Learning,,Ron Fedkiw,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/205L/
stanford,CS,206,CS 206 - Exploring Computational Journalism,"This course will explore the evolving field of computational journalism. Students will research and discuss the state of the field, and do projects in areas such as understanding the media ecosystem, stimulating media creation, and assessing media impact. Admission by application; please email James Hamilton at jayth@stanford.edu to request application.",K. Bharat; D. Garcia,"Fall 2019, Fall 2018, Fall 2017",3,https://www.coursicle.com/stanford/courses/CS/206/
stanford,CS,208E,CS 208E - Great Ideas in Computer Science,Great Ideas in Computer Science Covers the intellectual tradition of computer science emphasizing ideas that reflect the most important milestones in the history of the discipline. Topics include programming and problem solving; implementing computation in hardware; algorithmic efficiency; the theoretical limits of computation; cryptography and security; computer networks; machine learning; and the philosophy behind artificial intelligence. Readings will include classic papers along with additional explanatory material. Enrollment limited to students in the Master's program in Computer Science Education. Class Notes: Enrollment limited to students in the MS program in CS Education.,C. Gregg,"Fall 2019, Fall 2018, Fall 2017",3,https://www.coursicle.com/stanford/courses/CS/208E/
stanford,CS,209,"CS 209 - Law, Bias, & Algorithms",,Sharad Goel,Spring 2020,,https://www.coursicle.com/stanford/courses/CS/209/
stanford,CS,210A,CS 210A - Software Project Experience with Corporate Partners,,Jay Borenstein; J. Borenstein,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/210A/
stanford,CS,210B,CS 210B - Software Project Experience with Corporate Partners,"Continuation of CS210A. Focus is on real-world software development. Corporate partners seed projects with loosely defined challenges from their R&D labs; students innovate to build their own compelling software solutions. Student teams are treated as start-up companies with a budget and a technical advisory board comprised of the instructional staff and corporate liaisons. Teams will typically travel to the corporate headquarters of their collaborating partner, meaning some teams will travel internationally. Open loft classroom format such as found in Silicon Valley software companies. Exposure to: current practices in software engineering; techniques for stimulating innovation; significant development experience with creative freedoms; working in groups; real world software engineering challenges; public presentation of technical work; creating written descriptions of technical work. Prerequisites: CS 210A. Class Notes: Enrollment limited. Consent of instructor required. May be taken for 3 units by graduate students. Class meets in Gates 505.",Jay Borenstein; J. Borenstein,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/210B/
stanford,CS,217,CS 217 - Hardware Accelerators for Machine Learning,,Oyekunle Olukotun; O. Olukotun,"Winter 2020, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/217/
stanford,CS,221,CS 221 - Artificial Intelligence: Principles and Techniques,"Artificial intelligence (AI) has had a huge impact in many areas, including medical diagnosis, speech recognition, robotics, web search, advertising, and scheduling. This course focuses on the foundational concepts that drive these applications. In short, AI is the mathematics of making good decisions given incomplete information (hence the need for probability) and limited computation (hence the need for algorithms). Specific topics include search, constraint satisfaction, game playing, Markov decision processes, graphical models, machine learning, and logic. Prerequisites: CS 103 or CS 103B/X, CS 106B or CS 106X, CS 107, and CS 109 (algorithms, probability, and programming experience). Class Notes: Enrollment limited to 120 May be taken for 3 units by graduate students.",Chelsea Finn; D. Sadigh; P. Liang,"Fall 2020, Spring 2020, Fall 2019, Spring 2019, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/221/
stanford,CS,223A,CS 223A - Introduction to Robotics,,Oussama Khatib; J. Bohg,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/223A/
stanford,CS,224N,CS 224N - Natural Language Processing with Deep Learning,,Christopher Manning; R. Socher,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/224N/
stanford,CS,224S,CS 224S - Spoken Language Processing,,Andrew Maas,Spring 2020,,https://www.coursicle.com/stanford/courses/CS/224S/
stanford,CS,224U,CS 224U - Natural Language Understanding,"Project-oriented class focused on developing systems and algorithms for robust machine understanding of human language. Draws on theoretical concepts from linguistics, natural language processing, and machine learning. Topics include lexical semantics, distributed representations of meaning, relation extraction, semantic parsing, sentiment analysis, and dialogue agents, with special lectures on developing projects, presenting research results, and making connections with industry. Prerequisites: one of LINGUIST 180, CS 124, CS 224N, CS224S, or CS221; and logical/semantics such as LINGUIST 130A or B, CS 157, or PHIL150.",Bill Maccartney; C. Potts,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/224U/
stanford,CS,224W,CS 224W - Machine Learning with Graphs,"Networks are a fundamental tool for modeling complex social, technological, and biological systems. Coupled with emergence of online social networks and large-scale data availability in biological sciences, this course focuses on the analysis of massive networks which provide many computational, algorithmic, and modeling challenges. This course develops computational tools that reveal how the social, technological, and natural worlds are connected, and how the study of networks sheds light on these connections. Topics include: how information spreads through society; robustness and fragility of food webs and financial markets; algorithms for the World Wide Web; friend prediction in online social networks; identification of functional modules in biological networks; disease outbreak detection. Class Notes: May be taken for 3 units by graduate students.",J. Leskovec,"Fall 2019, Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/224W/
stanford,CS,225A,CS 225A - Experimental Robotics,,Oussama Khatib; O. Khatib,"Fall 2020, Spring 2020, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/225A/
stanford,CS,227B,CS 227B - General Game Playing,"A general game playing system accepts a formal description of a game to play it without human intervention or algorithms designed for specific games. Hands-on introduction to these systems and artificial intelligence techniques such as knowledge representation, reasoning, learning, and rational behavior. Students create GGP systems to compete with each other and in external competitions. Prerequisite: programming experience. Recommended: 103 or equivalent.",Michael Genesereth; M. Genesereth,"Spring 2020, Spring 2019, Spring 2018",3,https://www.coursicle.com/stanford/courses/CS/227B/
stanford,CS,228,CS 228 - Probabilistic Graphical Models: Principles and Techniques,,Stefano Ermon; S. Ermon,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/228/
stanford,CS,229,CS 229 - Machine Learning,"Topics: statistical pattern recognition, linear and non-linear regression, non-parametric methods, exponential family, GLMs, support vector machines, kernel methods, model/feature selection, learning theory, VC dimension, clustering, density estimation, EM, dimensionality reduction, ICA, PCA, reinforcement learning and adaptive control, Markov decision processes, approximate dynamic programming, and policy search. Prerequisites: linear algebra, and basic probability and statistics. Class Notes: May be taken for 3 units by graduate students.",Tengyu Ma; A. Ng; C. Re; A. Avati,"Fall 2020, Spring 2020, Fall 2019, Spring 2019, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/229/
stanford,CS,229A,CS 229A - Applied Machine Learning,,A. Ng,"Spring 2019, Fall 2018, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/229A/
stanford,CS,229T,CS 229T - Statistical Learning Theory,,T. Ma,Fall 2018,,https://www.coursicle.com/stanford/courses/CS/229T/
stanford,CS,230,CS 230 - Deep Learning,"Deep Learning is one of the most highly sought after skills in AI. We will help you become good at Deep Learning. In this course, you will learn the foundations of Deep Learning, understand how to build neural networks, and learn how to lead successful machine learning projects. You will learn about Convolutional networks, RNNs, LSTM, Adam, Dropout, BatchNorm, Xavier/He initialization, and more. You will work on case studies from healthcare, autonomous driving, sign language reading, music generation, and natural language processing. You will master not only the theory, but also see how it is applied in industry. You will practice all these ideas in Python and in TensorFlow, which we will teach. AI is transforming multiple industries. After this course, you will likely find creative ways to apply it to your work. This class is taught in the flipped-classroom format. You will watch videos and complete in-depth programming assignments and online quizzes at home, then come in to class for advanced discussions and work on projects. This class will culminate in an open-ended final project, which the teaching team will help you on. Prerequisites: Familiarity with programming in Python and Linear Algebra (matrix / vector multiplications). CS 229 may be taken concurrently.",Andrew Ng; A. Ng,"Winter 2020, Fall 2020, Spring 2020, Fall 2019, Spring 2019",,https://www.coursicle.com/stanford/courses/CS/230/
stanford,CS,231A,CS 231A - Computer Vision: From 3D Reconstruction to Recognition,,S. Savarese,Winter 2017,,https://www.coursicle.com/stanford/courses/CS/231A/
stanford,CS,231C,CS 231C - Computer Vision and Image Analysis of Art,,David Stork,Spring 2020,,https://www.coursicle.com/stanford/courses/CS/231C/
stanford,CS,231N,CS 231N - Convolutional Neural Networks for Visual Recognition,"Computer Vision has become ubiquitous in our society, with applications insearch, image understanding, apps, mapping, medicine, drones, andself-driving cars. Core to many of these applications are the tasks of image classification, localization and detection. This course is a deep dive into details of neural network architectures with a focus on learning end-to-end models for these tasks, particularly image classification. During the 10-week course, students will learn to implement, train and debug their own neural networks and gain a detailed understanding of cutting-edge research in computer vision. The final assignment will involve training a multi-million parameter convolutional neural network and applying it on the largest image classification dataset (ImageNet). We will focus on teaching how to set up the problem of image recognition, the learning algorithms (e.g. backpropagation), practical engineering tricks for training and fine-tuning the networks and guide the students through hands-on assignments and a final course project. Much of the background and materials of this course will be drawn from the ImageNet Challenge: http://image-net.org/challenges/LSVRC/2014/index. Prerequisites: Proficiency in Python; familiarity with C/C++; CS 131 and CS 229 or equivalents; Math 21 or equivalent, linear algebra. Class Notes: May be taken for 3 units by graduate students.",Ranjay Krishna; F. Li,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",,https://www.coursicle.com/stanford/courses/CS/231N/
stanford,CS,232,CS 232 - Digital Image Processing,,Jayant Thatte; B. Girod,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/232/
stanford,CS,233,CS 233 - Geometric and Topological Data Analysis,"Mathematical computational tools for the analysis of data with geometric content, such images, videos, 3D scans, GPS traces -- as well as for other data embedded into geometric spaces. Global and local geometry descriptors allowing for various kinds of invariances. The rudiments of computational topology and persistent homology on sampled spaces. Clustering and other unsupervised techniques. Spectral methods for geometric data analysis. Non-linear dimensionality reduction. Alignment, matching, and map computation between geometric data sets. Function spaces and functional maps.Networks of data sets and joint analysis for segmentation and labeling. The emergence of abstractions or concepts from data. Prerequisites: discrete algorithms at the level of 161; linear algebra at the level of CME103.",Leonidas Guibas; L. Guibas,"Fall 2020, Spring 2020, Spring 2018",3,https://www.coursicle.com/stanford/courses/CS/233/
stanford,CS,234,CS 234 - Reinforcement Learning,,Emma Brunskill; E. Brunskill,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/234/
stanford,CS,235,CS 235 - Computational Methods for Biomedical Image Analysis and Interpretation,,Daniel Rubin,"Fall 2020, Spring 2020",,https://www.coursicle.com/stanford/courses/CS/235/
stanford,CS,236,CS 236 - Deep Generative Models,,A. Grover,"Fall 2019, Fall 2018",,https://www.coursicle.com/stanford/courses/CS/236/
stanford,CS,237A,CS 237A - Principles of Robot Autonomy I,,M. Pavone,Fall 2019,,https://www.coursicle.com/stanford/courses/CS/237A/
stanford,CS,237B,CS 237B - Principles of Robot Autonomy II,,Jeannette Bohg,Winter 2020,,https://www.coursicle.com/stanford/courses/CS/237B/
stanford,CS,238,CS 238 - Decision Making under Uncertainty,"This course is designed to increase awareness and appreciation for why uncertainty matters, particularly for aerospace applications. Introduces decision making under uncertainty from a computational perspective and provides an overview of the necessary tools for building autonomous and decision-support systems. Following an introduction to probabilistic models and decision theory, the course will cover computational methods for solving decision problems with stochastic dynamics, model uncertainty, and imperfect state information. Topics include: Bayesian networks, influence diagrams, dynamic programming, reinforcement learning, and partially observable Markov decision processes. Applications cover: air traffic control, aviation surveillance systems, autonomous vehicles, and robotic planetary exploration. Prerequisites: basic probability and fluency in a high-level programming language.",M. Kochenderfer; A. Zanette,"Fall 2019, Fall 2018, Fall 2017",,https://www.coursicle.com/stanford/courses/CS/238/
stanford,CS,239,CS 239 - Advanced Topics in Sequential Decision Making,,Mykel Kochenderfer; M. Kochenderfer,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/239/
stanford,CS,240,CS 240 - Advanced Topics in Operating Systems,"Recent research. Classic and new papers. Topics: virtual memory management, synchronization and communication, file systems, protection and security, operating system extension techniques, fault tolerance, and the history and experience of systems programming. Prerequisite: 140 or equivalent.",Dawson Engler; D. Engler,"Fall 2020, Spring 2020, Spring 2019, Spring 2018",3,https://www.coursicle.com/stanford/courses/CS/240/
stanford,CS,240LX,"CS 240LX - Advanced Systems Laboratory, Accelerated",,Dawson Engler,Fall 2020,,https://www.coursicle.com/stanford/courses/CS/240LX/
stanford,CS,241,CS 241 - Embedded Systems Workshop,"Project-centric building hardware and software for embedded computing systems. Students work on an existing project of their own or join one of these projects. Syllabus topics will be determined by the needs of the enrolled students and projects. Examples of topics include: interrupts and concurrent programming, deterministic timing and synchronization, state-based programming models, filters, frequency response, and high-frequency signals, low power operation, system and PCB design, security, and networked communication. Prerequisite: CS107 (or equivalent).",Philip Levis; M. Horowitz,"Winter 2020, Fall 2020, Spring 2020, Fall 2017",2,https://www.coursicle.com/stanford/courses/CS/241/
stanford,CS,242,CS 242 - Programming Languages,"Central concepts in modern programming languages, impact on software development, language design trade-offs, and implementation considerations. Functional, imperative, and object-oriented paradigms. Formal semantic methods and program analysis. Modern type systems, higher order functions and closures, exceptions and continuations. Modularity, object-oriented languages, and concurrency. Runtime support for language features, interoperability, and security issues. Prerequisite: 107, or experience with Lisp, C, and an object-oriented language.",W. Crichton,"Fall 2019, Fall 2018, Fall 2017",3,https://www.coursicle.com/stanford/courses/CS/242/
stanford,CS,243,CS 243 - Program Analysis and Optimizations,,Monica Lam; M. Lam,"Winter 2020, Winter 2017",,https://www.coursicle.com/stanford/courses/CS/243/
